,exp_id,ano,mes,product-type,steel,carbon,hardness,condition,formability,strength,surface-quality,shape,thick,width,len,bore,recozimento
0,2.0,2020.0,8.0,C,A,8,0,S,2.2147001934235977,0,G,COIL,0.7,610.0,0.0,0,ruim
1,1368.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,0.7,1300.0,762.0,0,ruim
2,1130.0,2020.0,8.0,C,A,0,60,S,2.2147001934235977,0,G,COIL,2.801,385.1,0.0,0,ideal
3,402.0,2020.0,8.0,C,A,0,60,S,2.2147001934235977,0,G,SHEET,0.801,255.0,269.0,0,ideal
4,407.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,COIL,1.6,610.0,0.0,0,mediano
5,1508.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,0.699,610.0,4880.0,0,ruim
6,1393.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,COIL,3.3,152.0,0.0,0,ruim
7,2282.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,COIL,0.699,1320.0,0.0,0,mediano
8,1587.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,SHEET,1.0,1320.0,762.0,0,ruim
9,1349.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,COIL,1.2,610.0,0.0,0,ruim
10,831.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,0.3,1320.0,4880.0,0,ruim
11,1271.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,1.2,610.0,150.0,0,ruim
12,1424.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,COIL,1.2,609.9,0.0,0,ruim
13,2002.0,2020.0,8.0,C,A,0,0,S,2.0,0,F,SHEET,0.6,1220.0,761.0,0,mediano
14,711.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,SHEET,4.0,1320.0,762.0,0,ruim
15,1438.0,2020.0,8.0,C,A,0,80,S,2.2147001934235977,0,G,SHEET,0.8,610.0,4170.0,0,ideal
16,1927.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,SHEET,3.2,1320.1,762.0,0,ruim
17,237.0,2020.0,8.0,C,A,0,70,S,2.2147001934235977,0,G,COIL,0.501,1200.1,0.0,0,ideal
18,1238.0,2020.0,8.0,C,A,0,0,S,2.0,0,F,SHEET,0.6,610.0,761.0,0,ruim
19,2375.0,2020.0,8.0,C,K,55,0,S,2.2147001934235977,0,E,COIL,0.8,610.0,0.0,0,mediano
20,400.0,2020.0,8.0,C,S,70,0,S,2.2147001934235977,0,E,COIL,3.2,609.9,0.0,0,mediano
21,2077.0,2020.0,8.0,C,A,3,0,S,2.2147001934235977,0,E,COIL,0.5,610.0,0.0,0,ideal
22,437.0,2020.0,8.0,C,A,0,50,S,2.2147001934235977,0,G,COIL,3.2,1320.0,0.0,0,ideal
23,1190.0,2020.0,8.0,C,A,0,60,S,2.2147001934235977,0,G,SHEET,0.8,356.0,4880.0,0,ideal
24,2294.0,2020.0,8.0,C,K,55,0,S,2.2147001934235977,0,E,COIL,0.8,900.0,0.0,0,mediano
25,1799.0,2020.0,8.0,C,W,0,0,S,2.2147001934235977,310,G,COIL,1.6,610.0,0.0,500,mediano
26,2005.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,SHEET,0.6,610.0,4880.0,0,mediano
27,1459.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,E,SHEET,1.4,1320.0,4170.0,0,mediano
28,1089.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,SHEET,0.699,1320.0,762.0,0,ruim
29,1660.0,2020.0,8.0,C,A,0,85,S,2.2147001934235977,0,G,COIL,4.0,450.0,0.0,0,ideal
30,2302.0,2020.0,8.0,C,A,0,0,S,3.0,0,F,SHEET,0.75,1320.0,4880.0,0,mediano
31,1331.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,COIL,1.6,1220.0,0.0,0,ideal
32,9.0,2020.0,8.0,C,M,0,0,S,2.2147001934235977,350,G,COIL,1.399,1320.0,0.0,0,ideal
33,2349.0,2020.0,8.0,C,A,0,50,S,2.2147001934235977,0,G,COIL,0.6,1320.0,0.0,0,ideal
34,1677.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,COIL,0.651,20.0,0.0,0,ruim
35,2180.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,1.6,374.9,4880.0,0,ruim
36,1218.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,COIL,1.6,50.0,0.0,0,ruim
37,274.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,0.699,1320.0,4880.0,0,ruim
38,1918.0,2020.0,8.0,C,A,0,50,S,2.2147001934235977,0,E,COIL,0.7,610.0,0.0,0,ideal
39,1265.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,COIL,0.799,20.0,0.0,0,ideal
40,652.0,2020.0,8.0,C,A,0,0,S,2.0,0,F,SHEET,0.6,610.0,301.0,0,ruim
41,936.0,2020.0,8.0,C,R,0,0,S,3.0,0,E,SHEET,0.601,610.0,4880.0,0,ruim
42,150.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,SHEET,0.7,1320.0,4880.0,0,ruim
43,1230.0,2020.0,8.0,C,W,0,0,S,2.2147001934235977,310,G,COIL,2.5,1274.9,0.0,500,mediano
44,1051.0,2020.0,8.0,C,A,0,0,S,2.0,0,G,SHEET,0.699,1320.0,4880.0,0,ruim
45,2167.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,SHEET,0.7,609.9,762.0,0,ruim
46,1521.0,2020.0,8.0,C,A,0,0,S,1.0,0,G,SHEET,0.3,1320.0,761.0,0,ruim
47,1654.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,SHEET,0.599,150.0,4880.0,0,ruim
48,1792.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,COIL,0.7,1320.0,0.0,0,ruim
49,641.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,0.7,374.9,4880.0,0,mediano
50,744.0,2020.0,8.0,C,A,0,0,A,2.0,0,G,SHEET,0.301,610.0,762.0,0,ruim
51,762.0,2020.0,8.0,C,A,0,0,S,2.2147001934235977,500,G,COIL,1.6,1320.0,0.0,0,ideal
52,1070.0,2020.0,8.0,C,A,0,0,S,2.0,0,G,SHEET,3.2,1300.0,762.0,0,ruim
53,1711.0,2020.0,8.0,C,A,0,0,S,5.0,0,E,SHEET,1.2,610.0,762.0,0,ruim
54,2199.0,2020.0,8.0,C,A,0,0,S,5.0,0,E,SHEET,1.2,610.0,4880.0,0,mediano
55,2281.0,2020.0,8.0,C,A,0,0,S,3.0,0,F,SHEET,0.6,1220.0,762.0,0,ruim
56,1866.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,COIL,0.301,610.0,0.0,0,ruim
57,1697.0,2020.0,8.0,C,A,0,85,S,2.2147001934235977,0,E,SHEET,1.0,610.0,762.0,0,ideal
58,1014.0,2020.0,8.0,C,A,0,0,S,1.0,0,G,SHEET,0.301,515.0,610.0,0,mediano
59,1182.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,SHEET,1.2,335.0,611.0,0,ideal
60,2112.0,2020.0,8.0,C,R,0,0,S,3.0,0,E,SHEET,0.8,1320.0,762.0,0,ruim
61,953.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,COIL,0.6,250.0,0.0,0,ideal
62,1184.0,2020.0,8.0,C,A,0,70,S,2.2147001934235977,0,G,COIL,0.801,610.0,0.0,600,mediano
63,1720.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,COIL,3.5,610.0,0.0,600,mediano
64,1404.0,2020.0,8.0,C,A,0,0,S,1.0,0,G,SHEET,0.699,610.0,762.0,0,ruim
65,726.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,COIL,0.799,1300.0,0.0,0,ruim
66,1055.0,2020.0,8.0,C,A,4,0,S,2.2147001934235977,0,G,COIL,0.5,1130.0,0.0,0,ideal
67,1626.0,2020.0,8.0,C,A,0,0,S,2.2147001934235977,500,E,SHEET,1.6,609.9,4880.0,0,ideal
68,811.0,2020.0,8.0,C,A,0,0,S,3.0,0,G,COIL,0.601,1320.0,0.0,0,mediano
69,2165.0,2020.0,8.0,C,A,0,70,S,2.2147001934235977,0,E,COIL,2.0,1250.0,0.0,0,ideal
70,1488.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,3.2,1320.0,4880.0,0,ruim
71,723.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,E,COIL,0.7,610.0,0.0,0,ruim
72,2218.0,2020.0,8.0,C,A,0,0,S,2.0,0,F,SHEET,0.6,610.0,762.0,0,ruim
73,1045.0,2020.0,8.0,C,V,0,0,S,2.0,0,E,SHEET,1.599,610.0,1.0,0,ruim
74,236.0,2020.0,8.0,C,A,0,50,S,2.2147001934235977,0,G,COIL,0.8,609.9,0.0,0,ideal
75,1228.0,2020.0,8.0,C,R,0,0,S,3.0,0,E,SHEET,1.6,610.0,4880.0,0,ruim
76,1848.0,2020.0,8.0,C,K,45,0,S,2.2147001934235977,0,E,COIL,3.2,640.0,0.0,600,mediano
77,445.0,2020.0,8.0,C,R,0,0,S,3.0,0,E,SHEET,0.8,1320.0,4880.0,0,ruim
78,2108.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,COIL,1.6,610.0,0.0,0,ruim
79,1816.0,2020.0,8.0,C,M,0,0,S,2.2147001934235977,600,G,COIL,1.6,1090.0,0.0,0,ideal
80,1344.0,2020.0,8.0,C,A,0,0,A,1.0,0,E,COIL,0.5,610.0,0.0,0,ruim
81,635.0,2020.0,8.0,C,A,10,0,S,2.2147001934235977,0,E,COIL,1.201,1320.0,0.0,0,ruim
82,2250.0,2020.0,8.0,C,A,0,0,S,1.0,0,G,SHEET,0.3,610.0,762.0,0,ruim
83,2309.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,SHEET,0.7,610.0,4880.0,0,ruim
84,1575.0,2020.0,8.0,C,K,55,0,S,2.2147001934235977,0,E,COIL,1.5,640.0,0.0,0,mediano
85,2277.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,SHEET,0.599,609.9,4880.0,0,ruim
86,1807.0,2020.0,8.0,C,R,0,0,S,3.0,0,E,SHEET,0.8,610.0,762.0,0,ruim
87,1215.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,SHEET,1.6,610.0,761.0,0,mediano
88,2276.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,COIL,0.6,610.0,0.0,0,ideal
89,2063.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,1.599,610.0,4880.0,0,ruim
90,459.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,2.0,610.0,612.0,0,ruim
91,347.0,2020.0,8.0,C,R,0,0,S,2.2147001934235977,500,E,SHEET,1.0,610.0,4880.0,0,mediano
92,248.0,2020.0,8.0,C,A,0,0,S,2.0,0,F,SHEET,0.999,610.0,762.0,0,ruim
93,1174.0,2020.0,8.0,C,A,0,0,S,2.0,0,F,SHEET,0.699,610.0,761.0,0,mediano
94,348.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,SHEET,0.7,610.0,762.0,0,ruim
95,669.0,2020.0,8.0,C,A,0,45,S,2.2147001934235977,0,D,COIL,1.6,610.0,0.0,0,ruim
96,1116.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,SHEET,0.5,1220.0,4880.0,0,ruim
97,1298.0,2020.0,8.0,C,R,0,0,S,2.0,0,E,SHEET,0.7,1300.0,4880.0,0,ruim
98,2406.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,SHEET,0.7,609.9,762.0,0,ruim
99,624.0,2020.0,8.0,C,A,0,0,S,2.0,0,E,COIL,0.7,1320.0,0.0,0,ruim
100,103.0,2020.0,8.0,C,A,0,70,S,2.2147001934235977,0,G,COIL,0.8,50.0,0.0,0,ideal
101,1818.0,2020.0,8.0,C,A,0,0,S,3.0,0,E,SHEET,0.6,1220.0,761.0,0,ideal
